nombretitulo,institucion,niveltitulo
ESPECIALIZACAO EM IMPLANTODONTIA,FACULDADE DE ENSINO SUPERIOR BLAURO CARDOSO DE MATTOS (FASERRA),CUARTO NIVEL
MASTER UNIVERSITARIO EN INTERVENCION PSICOLOGICA EN NIÑOS Y ADOLESCENTES,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
MAGISTER EN GERENCIA HOSPITALARIA,UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
TECNOLOGO EN EMERGENCIAS MEDICAS,INSTITUTO TECNOLÓGICO SUPERIOR CRUZ ROJA ECUATORIANA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN ENFERMERIA PARA EL CUIDADO DEL PACIENTE EN ESTADO CRITICO,UNIVERSIDAD MARIANA,CUARTO NIVEL
MAGISTER EN SALUD Y SEGURIDAD OCUPACIONAL MENCION EN PREVENCION DE RIESGOS LABORALES,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
DIPLOMA SUPERIOR EN DESARROLLO LOCAL Y SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
ESPECIALISTA EN CIRUGIA GENERAL Y LAPAROSCOPICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO EN LABORATORIO CLINICO E HISTOTECNOLOGICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD REGIONAL AUTONOMA DE LOS ANDES,TERCER NIVEL
ESPECIALISTA EN HEMATOLOGIA EN EL LABORATORIO CLINICO Y MANEJO DEL BANCO DE SANGRE,PONTIFICIA UNIVERSIDAD JAVERIANA,CUARTO NIVEL
DIPLOMA SUPERIOR EN DESARROLLO LOCAL Y SALUD,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,CUARTO NIVEL
PSICOLOGO CLINICO,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,TERCER NIVEL
LICENCIADA EN NUTRICION Y DIETETICA,UNIVERSIDAD CENTRAL DE VENEZUELA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD POLITECNICA SALESIANA,TERCER NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
MAGISTER EN PSICOLOGIA MENCION EN ASESORIA Y TERAPIA FAMILIAR SISTEMICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO/A EN PSICOLOGIA,UNIVERSIDAD PARTICULAR INTERNACIONAL SEK,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGA INFANTIL Y PSICORREHABILITADORA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADO/A EN FONOAUDIOLOGIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO SUPERIOR TECNOLÓGICO LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGO CLINICO,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
LICENCIADA SICOLOGIA,UNIVERSIDAD SAN FRANCISCO DE QUITO,TERCER NIVEL
MASTER UNIVERSITARIO EN DIRECCION Y GESTION DE UNIDADES DE ENFERMERIA,UNIVERSIDAD INTERNACIONAL DE LA RIOJA,CUARTO NIVEL
TECNOLOGO SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO CORDILLERA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
LICENCIADO (A) EN CIENCIAS DE LA SALUD EN LABORATORIO CLINICO E HISTOPATOLOGICO,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
MAGISTER EN NEUROPSICOLOGIA CLINICA,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
TECNICO SUPERIOR EN ENFERMERIA,INSTITUTO TECNOLÓGICO SUPERIOR LIBERTAD,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO/A EN FISIOTERAPIA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALIZACION EN PROTESIS DENTAL,CENTRO UNIVERSITARIO DO NORTE PAULISTA,CUARTO NIVEL
TECNOLOGO EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA DE PRIMER GRADO EN UROLOGIA,INSTITUTO SUPERIOR DE CIENCIAS MEDICAS DE CAMAGUEY,CUARTO NIVEL
TECNOLOGO EN REHABILITACION FISICA,INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA,NIVEL TECNICO O TECNOLOGICO SUPERIOR
LICENCIADO EN PSICOLOGIA,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD CENTRAL DEL ECUADOR,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
MAGISTER EN PSICOLOGIA MENCION EN ASESORIA Y TERAPIA FAMILIAR SISTEMICA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
PSICOLOGA CLINICA,UNIVERSIDAD NACIONAL DE CHIMBORAZO,TERCER NIVEL
TECNOLOGO SUPERIOR EN EMERGENCIAS MEDICAS,INSTITUTO SUPERIOR TECNOLÓGICO SAN ISIDRO,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNICO SUPERIOR EN ATENCION PRIMARIA DE SALUD,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY,NIVEL TECNICO O TECNOLOGICO SUPERIOR
ESPECIALISTA EN ORTODONCIA,UNIVERSIDAD CATOLICA DE CUENCA,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
PSICOLOGO CLINICO,UNIVERSIDAD DEL AZUAY,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN CIRUGIA ORAL,UNIVERSIDAD CENTRAL DEL ECUADOR,CUARTO NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
SICOLOGA CLINICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
MAGISTER EN CUIDADOS PALIATIVOS,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,CUARTO NIVEL
LICENCIADA EN FONOAUDIOLOGIA / FONOAUDIOLOGA,UNIVERSIDAD AUTONOMA DE CHILE,TERCER NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADO EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN MEDICINA INTERNA,UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO,CUARTO NIVEL
LICENCIADA EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN SALUD Y SEGURIDAD OCUPACIONAL CON MENCION EN SALUD OCUPACIONAL,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
ODONTOLOGA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
SICOLOGO CLINICO,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
PSICOLOGA CLINICA,UNIVERSIDAD DE CUENCA,TERCER NIVEL
ESPECIALISTA EN PEDIATRIA,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,CUARTO NIVEL
BIOQUIMICO FARMACEUTICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICO ESPECIALISTA EN GASTROENTEROLOGIA,PRIVOLZHSKY RESEARCH MEDICAL UNIVERSITY,CUARTO NIVEL
MASTER OF SCIENCE BIOMATERIALS AND DIGITAL DENTISTRY,UNIVERSITY OF SOUTHERN CALIFORNIA,CUARTO NIVEL
MAGISTER EN EPIDEMIOLOGIA Y SALUD COLECTIVA,UNIVERSIDAD ANDINA SIMON BOLIVAR,CUARTO NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
TECNOLOGO PARAMEDICO,INSTITUTO SUPERIOR TECNOLÓGICO AMERICAN COLLEGE,NIVEL TECNICO O TECNOLOGICO SUPERIOR
MEDICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN ANESTESIOLOGIA,UNIVERSIDAD DE CUENCA,CUARTO NIVEL
MAGISTER EN SEGURIDAD Y SALUD OCUPACIONAL,UNIVERSIDAD DE LAS AMERICAS,CUARTO NIVEL
LICENCIADA EN ENFERMERIA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
TECNOLOGO/A SUPERIOR EN OPTOMETRIA,INSTITUTO SUPERIOR TECNOLÓGICO BOLIVARIANO DE TECNOLOGÍA,TERCER NIVEL
LICENCIADO/A EN LABORATORIO CLINICO,UNIVERSIDAD DE CUENCA,TERCER NIVEL
MEDICA,UNIVERSIDAD CATOLICA DE CUENCA,TERCER NIVEL
ESPECIALISTA EN DERMATOLOGIA,UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,CUARTO NIVEL
